id,name,type
1,night_club,GOOGLE
2,point_of_interest,GOOGLE
3,establishment,GOOGLE
4,food,GOOGLE
5,bar,GOOGLE
6,restaurant,GOOGLE
7,lawyer,GOOGLE
8,bakery,GOOGLE
9,store,GOOGLE
10,cafe,GOOGLE
11,bowling_alley,GOOGLE
12,health,GOOGLE
13,tourist_attraction,GOOGLE
14,lodging,GOOGLE
15,electronics_store,GOOGLE
16,home_goods_store,GOOGLE
17,gym,GOOGLE
18,school,GOOGLE
19,spa,GOOGLE
20,transit_station,GOOGLE
21,park,GOOGLE
22,movie_theater,GOOGLE
23,art_gallery,GOOGLE
24,liquor_store,GOOGLE
25,clothing_store,GOOGLE
26,meal_delivery,GOOGLE
27,meal_takeaway,GOOGLE
28,casino,GOOGLE
29,gas_station,GOOGLE
30,travel_agency,GOOGLE
31,department_store,GOOGLE
32,finance,GOOGLE
33,grocery_or_supermarket,GOOGLE
34,convenience_store,GOOGLE
35,hospital,GOOGLE
36,parking,GOOGLE
37,amusement_park,GOOGLE
38,zoo,GOOGLE
39,museum,GOOGLE
40,storage,GOOGLE
41,laundry,GOOGLE
42,university,GOOGLE
43,library,GOOGLE
44,secondary_school,GOOGLE
45,local_government_office,GOOGLE
46,doctor,GOOGLE
47,hair_care,GOOGLE
48,insurance_agency,GOOGLE
49,church,GOOGLE
50,place_of_worship,GOOGLE
51,furniture_store,GOOGLE
52,accounting,GOOGLE
53,beauty_salon,GOOGLE
54,dentist,GOOGLE
55,car_repair,GOOGLE
56,electrician,GOOGLE
57,supermarket,GOOGLE
58,shopping_mall,GOOGLE
59,taxi_stand,GOOGLE
60,car_rental,GOOGLE
61,hardware_store,GOOGLE
62,book_store,GOOGLE
63,landmark,GOOGLE
64,general_contractor,GOOGLE
65,natural_feature,GOOGLE
66,physiotherapist,GOOGLE
67,bank,GOOGLE
68,city_hall,GOOGLE
69,bicycle_store,GOOGLE
70,bus_station,GOOGLE
71,car_wash,GOOGLE
72,rv_park,GOOGLE
73,campground,GOOGLE
74,jewelry_store,GOOGLE
75,aquarium,GOOGLE
76,locality,GOOGLE
77,political,GOOGLE
78,pharmacy,GOOGLE
79,movie_rental,GOOGLE
80,mosque,GOOGLE
81,shoe_store,GOOGLE
82,stadium,GOOGLE
83,car_dealer,GOOGLE
84,painter,GOOGLE
85,roofing_contractor,GOOGLE
86,florist,GOOGLE
87,pet_store,GOOGLE
88,atm,GOOGLE
89,drugstore,GOOGLE
90,administrative_area_level_2,GOOGLE
91,administrative_area_level_3,GOOGLE
92,neighborhood,GOOGLE
93,route,GOOGLE
94,post_office,GOOGLE
95,moving_company,GOOGLE
96,funeral_home,GOOGLE
97,police,GOOGLE
